STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; LUFTTEMPERATUR; REL_FEUCHTE; STRAHLUNGSTEMPERATUR; eor                                                                                    
    13667;  2021100404;   3;0;   11.6;   91;   11.0;eor                                                                                                                                                 
    13667;  2021100405;   3;0;   11.4;   92;   10.8;eor                                                                                                                                                 
    13667;  2021100406;   3;0;   11.2;   94;   10.6;eor                                                                                                                                                 
    13667;  2021100407;   3;0;   11.0;   92;   10.8;eor                                                                                                                                                 
    13667;  2021100408;   3;0;   11.4;   93;   11.4;eor                                                                                                                                                 
    13667;  2021100409;   3;0;   11.7;   93;   12.2;eor                                                                                                                                                 
    13667;  2021100410;   3;0;   12.1;   90;   12.7;eor                                                                                                                                                 
    13667;  2021100411;   3;0;   12.3;   91;   13.2;eor                                                                                                                                                 
    13667;  2021100412;   3;0;   12.5;   91;   13.5;eor                                                                                                                                                 
    13667;  2021100413;   3;0;   12.3;   88;   13.4;eor                                                                                                                                                 
    13667;  2021100414;   3;0;   12.2;   89;   12.3;eor                                                                                                                                                 
    13667;  2021100415;   3;0;   12.2;   91;   12.3;eor                                                                                                                                                 
    13667;  2021100416;   3;0;   12.4;   86;   12.2;eor                                                                                                                                                 
    13667;  2021100417;   3;0;   12.5;   85;   11.8;eor                                                                                                                                                 
    13667;  2021100418;   3;0;   12.2;   88;   11.3;eor                                                                                                                                                 
    13667;  2021100419;   3;0;   12.3;   87;   11.7;eor                                                                                                                                                 
    13667;  2021100420;   3;0;   12.3;   90;   12.0;eor                                                                                                                                                 
    13667;  2021100421;   3;0;   12.0;   90;   11.7;eor                                                                                                                                                 
    13667;  2021100422;   3;0;   11.9;   90;   11.7;eor                                                                                                                                                 
    13667;  2021100423;   3;0;   11.8;   94;   11.4;eor                                                                                                                                                 
    13667;  2021100500;   3;0;   11.6;   93;   11.2;eor                                                                                                                                                 
    13667;  2021100501;   3;0;   11.4;   95;   11.2;eor                                                                                                                                                 
    13667;  2021100502;   3;0;   11.5;   96;   11.3;eor                                                                                                                                                 
    13667;  2021100503;   3;0;   11.3;   96;   11.1;eor                                                                                                                                                 
    13667;  2021100504;   3;0;   11.1;   94;   10.8;eor                                                                                                                                                 
    13667;  2021100505;   3;0;   11.3;   95;   11.1;eor                                                                                                                                                 
    13667;  2021100506;   3;0;   11.5;   96;   11.2;eor                                                                                                                                                 
    13667;  2021100507;   3;0;   11.5;   94;   11.4;eor                                                                                                                                                 
    13667;  2021100508;   3;0;   11.9;   92;   12.1;eor                                                                                                                                                 
    13667;  2021100509;   3;0;   12.7;   87;   14.7;eor                                                                                                                                                 
    13667;  2021100510;   3;0;   13.7;   81;   17.3;eor                                                                                                                                                 
    13667;  2021100511;   3;0;   15.2;   72;   21.0;eor                                                                                                                                                 
    13667;  2021100512;   3;0;   17.3;   62;   32.5;eor                                                                                                                                                 
    13667;  2021100513;   3;0;   18.2;   58;   23.6;eor                                                                                                                                                 
    13667;  2021100514;   3;0;   18.3;   57;   19.9;eor                                                                                                                                                 
